item,driver,market_reach,exclusivity,visual_weight,label_group,label_dx,label_dy,label_note
Black Ivory,Rare beans,2.0,9.8,20,1,10,-8,Ultra-rare elephant-processed coffee with extreme exclusivity
Kopi Luwak,Rare beans,4.5,8.8,18,1,10,-8,Famous rarity with strong recognition and luxury positioning
Hacienda Geisha,Single origin,5.5,9.2,16,1,12,-10,Prestige origin coffee associated with auction-level premiums
Hawaiian Kona,Single origin,6.3,8.2,14,1,10,-8,Well-known origin with premium mainstream recognition
Jamaican Blue Mountain,Single origin,6.8,7.8,15,0,10,-8,Historic single-origin premium with broad global awareness
St Helena,Single origin,2.6,8.6,8,1,10,-8,Tiny-volume island coffee prized for scarcity
Yemen Mocha,Single origin,4.8,7.6,10,0,10,-8,Heritage origin valued for rarity and story
Yirgacheffe,Single origin,7.0,6.8,11,1,10,-8,Recognised specialty origin with wider specialty reach
Anaerobic process,Special processing,5.8,7.2,10,0,10,-8,Experimental processing associated with novelty and premium flavour
Carbonic maceration,Special processing,4.7,7.4,6,0,10,-8,Innovative processing trend in specialty coffee
Honey process,Special processing,7.4,5.8,7,0,10,-8,Processing style familiar to specialty audiences
Cupping rooms,Experience venues,5.4,6.5,15,1,10,-8,Curated tasting spaces that make premium coffee experiential
Roastery bars,Experience venues,7.8,5.9,10,0,10,-8,Accessible premium experience through education and craft
Hotel service,Experience venues,6.5,5.2,7,0,10,-8,Premium positioning through hospitality and service context
